城市,区,地铁站点数,人均可支配收入（元）,聚类种类
承德市,双桥区,0,,类别4
承德市,双滦区,0,,类别4
承德市,鹰手营子矿区,0,,类别4
承德市,承德县,0,,类别4
承德市,兴隆县,0,,类别4
承德市,滦平县,0,,类别4
承德市,隆化县,0,,类别4
承德市,丰宁满族自治县,0,,类别4
承德市,宽城满族自治县,0,,类别4
承德市,围场满族蒙古族自治县,0,,类别4
承德市,承德高新技术产业开发区,0,,类别4
承德市,平泉市,0,,类别4
沧州市,新华区,0,,类别4
沧州市,运河区,0,,类别4
沧州市,沧县,0,,类别4
沧州市,青县,0,,类别4
沧州市,东光县,0,,类别4
沧州市,海兴县,0,,类别4
沧州市,盐山县,0,,类别4
沧州市,肃宁县,0,,类别4
沧州市,南皮县,0,,类别4
沧州市,吴桥县,0,,类别4
沧州市,献县,0,,类别4
沧州市,孟村回族自治县,0,,类别4
沧州市,河北沧州经济开发区,0,,类别4
沧州市,沧州高新技术产业开发区,0,,类别4
沧州市,沧州渤海新区,0,,类别4
沧州市,泊头市,0,,类别4
沧州市,任丘市,0,,类别4
沧州市,黄骅市,0,,类别4
沧州市,河间市,0,,类别4
廊坊市,安次区,0,,类别4
廊坊市,广阳区,0,,类别4
廊坊市,固安县,0,,类别4
廊坊市,永清县,0,,类别4
廊坊市,香河县,0,,类别4
廊坊市,大城县,0,,类别4
廊坊市,文安县,0,,类别4
廊坊市,大厂回族自治县,0,,类别4
廊坊市,廊坊经济技术开发区,0,,类别4
廊坊市,霸州市,0,,类别4
廊坊市,三河市,0,,类别4
衡水市,桃城区,0,,类别4
衡水市,冀州区,0,,类别4
衡水市,枣强县,0,,类别4
衡水市,武邑县,0,,类别4
衡水市,武强县,0,,类别4
衡水市,饶阳县,0,,类别4
衡水市,安平县,0,,类别4
衡水市,故城县,0,,类别4
衡水市,景县,0,,类别4
衡水市,阜城县,0,,类别4
衡水市,河北衡水高新技术产业开发区,0,,类别4
衡水市,衡水滨湖新区,0,,类别4
衡水市,深州市,0,,类别4
太原市,小店区,20,43036.0,类别4
太原市,迎泽区,14,43036.0,类别4
太原市,杏花岭区,4,43036.0,类别4
太原市,尖草坪区,2,43036.0,类别4
太原市,万柏林区,7,43036.0,类别4
太原市,晋源区,0,43036.0,类别4
太原市,清徐县,0,43036.0,类别4
太原市,阳曲县,0,43036.0,类别4
太原市,娄烦县,0,43036.0,类别4
太原市,山西转型综合改革示范区,0,43036.0,类别4
太原市,古交市,0,43036.0,类别4
大同市,新荣区,0,,类别4
大同市,平城区,0,,类别4
大同市,云冈区,0,,类别4
大同市,云州区,0,,类别4
大同市,阳高县,0,,类别4
大同市,天镇县,0,,类别4
